-37.4005978,30.8078921,9.1467018
-37.3158143,29.8115176,8.6375583
-37.2177544,28.8162392,8.1230338
-37.1053741,27.8230830,7.6026844
-36.9762276,26.8311814,7.0767054
-36.8252772,25.8433698,6.5527629
-36.6422840,24.8604849,6.0315765
-36.4123439,23.8886738,5.5449828
-36.1158800,22.9353491,5.0997537
-35.7344696,22.0100442,4.7078415
-35.2530472,21.1242373,4.4301286
-34.6623561,20.3120007,4.1303706
-33.9618989,19.6149184,3.7657704
-33.1316931,19.0703686,3.4479225
-32.1940423,18.8457750,3.6278825
-31.1619412,18.8428830,3.9789217
-30.1502125,18.8700816,3.6522053
-29.1399851,18.7227606,3.2050529
-28.3251767,18.2471252,2.8719615
-27.8185433,17.3866241,3.1913955
-27.5594042,16.4542548,3.5226951
-27.4302416,15.4360740,3.8773148
-27.4082289,14.4302651,4.2563445
-27.4494097,13.4159417,4.7039807
-27.5260861,12.4307716,5.1723980
-27.6164630,11.4304606,5.6454671
-27.6932946,10.4379999,6.0098831
-27.7253356,9.4433682,6.2655683
-27.6847013,8.4451945,6.2882448
-27.5644655,7.4532846,6.2363439
-27.3634368,6.4729610,6.1415191
-27.0816195,5.5139349,6.0177966
-26.7169967,4.5829132,5.9140437
-26.2703687,3.6883307,5.8265506
-25.7420776,2.8397896,5.7661789
-25.1303293,2.0493805,5.9076511
-24.4475828,1.3213300,6.1429267
-23.7140926,0.6421207,6.4533561
-22.9604965,-0.0114320,6.8066895
-22.1997542,-0.6621710,7.1441620
-21.4455258,-1.3197821,7.4305105
-20.7051528,-1.9917170,7.1891487
-19.9823824,-2.6831860,6.7825824
-19.2826578,-3.3969831,6.2634196
-18.6135834,-4.1371890,5.7818538
-17.9885888,-4.9230605,5.3522233
-17.4325397,-5.7591117,5.0931534
-16.9617875,-6.6450947,4.8312205
-16.6255325,-7.5738498,4.6345742
-16.4751482,-8.5583206,4.7814598
-16.5482526,-9.5673661,4.6044262
-16.6263837,-10.5560322,4.3039951
-16.4108072,-11.5198987,4.0127013
-15.9057148,-12.3648977,4.1502157
-15.2685829,-13.1619807,4.3658841
-14.5947295,-13.8943598,4.6422634
-13.8583624,-14.5678229,5.0261987
-13.0784576,-15.1973371,5.4357805
-12.2800841,-15.7976486,5.8686473
-11.4690727,-16.3831235,6.2681196
-10.6508503,-16.9572503,6.6456140
-9.8258994,-17.5215488,6.9953607
-8.9937234,-18.0750425,7.2995403
